EKG,T,,,,,
299,12078,,,,,
296,12089,,,,,
298,12101,,,,,
303,12112,,,,,
305,12124,,,,,
305,12135,,,,,
305,12146,,,,,
311,12158,,,,,
311,12170,,,,,
307,12181,,,,,
307,12192,,,,,
306,12204,,,,,
309,12215,,,,,
306,12227,,,,,
306,12238,,,,,
309,12250,,,,,
305,12261,,,,,
308,12272,,,,,
305,12283,,,,,
315,12296,,,,,
317,12307,,,,,
312,12318,,,,,
307,12329,,,,,
303,12341,,,,,
305,12352,,,,,
305,12364,,,,,
307,12376,,,,,
307,12387,,,,,
306,12398,,,,,
307,12409,,,,,
321,12421,,,,,
439,12433,,,,,
502,12444,,,,,
393,12455,,,,,
229,12467,,,,,
282,12478,,,,,
314,12489,,,,,
321,12502,,,,,
325,12513,,,,,
326,12524,,,,,
334,12535,,,,,
337,12547,,,,,
341,12559,,,,,
350,12570,,,,,
353,12581,,,,,
362,12593,,,,,
370,12604,,,,,
378,12615,,,,,
387,12627,,,,,
384,12639,,,,,
379,12650,,,,,
368,12661,,,,,
358,12673,,,,,
350,12684,,,,,
338,12696,,,,,
328,12707,,,,,
313,12719,,,,,
304,12730,,,,,
296,12741,,,,,
298,12752,,,,,
299,12765,,,,,
301,12776,,,,,
303,12787,,,,,
306,12798,,,,,
307,12810,,,,,
305,12821,,,,,
307,12833,,,,,
305,12845,,,,,
306,12856,,,,,
305,12867,,,,,
309,12878,,,,,
307,12891,,,,,
305,12902,,,,,
307,12913,,,,,
310,12924,,,,,
317,12936,,,,,
312,12947,,,,,
309,12959,,,,,
310,12971,,,,,
308,12982,,,,,
309,12993,,,,,
307,13004,,,,,
308,13016,,,,,
311,13028,,,,,
312,13039,,,,,
326,13050,,,,,
432,13062,,,,,
522,13073,,,,,
432,13084,,,,,
213,13096,,,,,
273,13108,,,,,
312,13119,,,,,
324,13130,,,,,
324,13142,,,,,
329,13153,,,,,
333,13165,,,,,
335,13176,,,,,
342,13188,,,,,
347,13199,,,,,
354,13210,,,,,
357,13221,,,,,
368,13234,,,,,
375,13245,,,,,
383,13256,,,,,
381,13267,,,,,
374,13279,,,,,
364,13291,,,,,
352,13302,,,,,
344,13314,,,,,
336,13325,,,,,
325,13336,,,,,
313,13347,,,,,
303,13360,,,,,
298,13371,,,,,
298,13382,,,,,
299,13393,,,,,
301,13405,,,,,
303,13416,,,,,
305,13428,,,,,
306,13440,,,,,
307,13451,,,,,
309,13462,,,,,
310,13473,,,,,
308,13485,,,,,
307,13497,,,,,
306,13508,,,,,
308,13519,,,,,
310,13531,,,,,
311,13542,,,,,
314,13553,,,,,
316,13565,,,,,
315,13577,,,,,
304,13588,,,,,
303,13599,,,,,
300,13611,,,,,
298,13623,,,,,
302,13634,,,,,
302,13645,,,,,
304,13657,,,,,
306,13668,,,,,
313,13679,,,,,
408,13691,,,,,
514,13703,,,,,
466,13714,,,,,
208,13725,,,,,
252,13736,,,,,
304,13748,,,,,
322,13760,,,,,
332,13771,,,,,
335,13783,,,,,
337,13794,,,,,
340,13805,,,,,
344,13816,,,,,
349,13829,,,,,
356,13840,,,,,
364,13851,,,,,
386,13862,,,,,
390,13874,,,,,
395,13885,,,,,
398,13897,,,,,
