EKG,T,,,,,
316,9914,,,,,
317,9924,,,,,
297,9934,,,,,
302,9945,,,,,
497,9955,,,,,
572,9966,,,,,
313,9976,,,,,
229,9987,,,,,
291,9997,,,,,
309,10007,,,,,
313,10018,,,,,
319,10031,,,,,
323,10042,,,,,
331,10053,,,,,
334,10064,,,,,
340,10076,,,,,
343,10087,,,,,
352,10099,,,,,
358,10110,,,,,
364,10122,,,,,
365,10133,,,,,
360,10144,,,,,
360,10156,,,,,
361,10168,,,,,
363,10179,,,,,
357,10190,,,,,
344,10202,,,,,
333,10213,,,,,
326,10224,,,,,
326,10236,,,,,
326,10248,,,,,
328,10259,,,,,
331,10270,,,,,
328,10281,,,,,
331,10293,,,,,
327,10305,,,,,
325,10316,,,,,
331,10328,,,,,
342,10339,,,,,
342,10350,,,,,
331,10362,,,,,
324,10374,,,,,
318,10385,,,,,
319,10396,,,,,
321,10407,,,,,
321,10419,,,,,
313,10431,,,,,
285,10442,,,,,
443,10454,,,,,
591,10465,,,,,
308,10476,,,,,
220,10487,,,,,
295,10500,,,,,
317,10511,,,,,
320,10522,,,,,
328,10533,,,,,
333,10545,,,,,
337,10556,,,,,
342,10568,,,,,
348,10579,,,,,
354,10591,,,,,
360,10602,,,,,
368,10613,,,,,
367,10625,,,,,
373,10637,,,,,
372,10648,,,,,
372,10659,,,,,
375,10671,,,,,
376,10682,,,,,
368,10694,,,,,
346,10705,,,,,
333,10717,,,,,
326,10728,,,,,
325,10739,,,,,
328,10750,,,,,
326,10763,,,,,
330,10774,,,,,
326,10785,,,,,
327,10797,,,,,
325,10808,,,,,
325,10819,,,,,
333,10831,,,,,
336,10843,,,,,
332,10854,,,,,
320,10865,,,,,
316,10876,,,,,
313,10888,,,,,
311,10900,,,,,
310,10911,,,,,
311,10923,,,,,
295,10934,,,,,
326,10945,,,,,
551,10956,,,,,
474,10969,,,,,
196,10980,,,,,
249,10991,,,,,
300,11002,,,,,
310,11014,,,,,
314,11025,,,,,
320,11037,,,,,
327,11048,,,,,
331,11060,,,,,
338,11071,,,,,
341,11082,,,,,
347,11095,,,,,
353,11106,,,,,
359,11117,,,,,
361,11128,,,,,
362,11140,,,,,
362,11151,,,,,
364,11163,,,,,
371,11174,,,,,
363,11186,,,,,
345,11197,,,,,
326,11208,,,,,
314,11219,,,,,
314,11232,,,,,
311,11243,,,,,
314,11254,,,,,
316,11266,,,,,
318,11277,,,,,
319,11288,,,,,
318,11300,,,,,
316,11312,,,,,
322,11323,,,,,
329,11334,,,,,
325,11345,,,,,
316,11357,,,,,
308,11369,,,,,
304,11380,,,,,
303,11392,,,,,
302,11403,,,,,
305,11414,,,,,
295,11426,,,,,
294,11438,,,,,
480,11449,,,,,
505,11460,,,,,
216,11471,,,,,
224,11483,,,,,
295,11495,,,,,
304,11506,,,,,
308,11517,,,,,
315,11529,,,,,
320,11540,,,,,
326,11551,,,,,
330,11564,,,,,
337,11575,,,,,
345,11586,,,,,
351,11597,,,,,
359,11609,,,,,
361,11620,,,,,
361,11632,,,,,
357,11643,,,,,
360,11655,,,,,
360,11666,,,,,
359,11677,,,,,
346,11688,,,,,
329,11701,,,,,
322,11712,,,,,
314,11723,,,,,
314,11735,,,,,
318,11746,,,,,
318,11757,,,,,
320,11769,,,,,
320,11781,,,,,
321,11792,,,,,
318,11803,,,,,
327,11814,,,,,
331,11827,,,,,
331,11838,,,,,
323,11849,,,,,
313,11860,,,,,
310,11872,,,,,
307,11883,,,,,
311,11895,,,,,
310,11907,,,,,
302,11918,,,,,
281,11929,,,,,
451,11940,,,,,
585,11952,,,,,
298,11964,,,,,
225,11975,,,,,
290,11986,,,,,
305,11998,,,,,
311,12009,,,,,
316,12020,,,,,
323,12033,,,,,
330,12044,,,,,
334,12055,,,,,
339,12066,,,,,
346,12078,,,,,
352,12089,,,,,
357,12101,,,,,
364,12112,,,,,
364,12124,,,,,
364,12135,,,,,
361,12146,,,,,
364,12158,,,,,
365,12170,,,,,
356,12181,,,,,
339,12192,,,,,
325,12204,,,,,
323,12215,,,,,
322,12227,,,,,
323,12238,,,,,
326,12250,,,,,
326,12261,,,,,
329,12272,,,,,
325,12283,,,,,
322,12296,,,,,
331,12307,,,,,
340,12318,,,,,
339,12329,,,,,
328,12341,,,,,
321,12352,,,,,
316,12364,,,,,
316,12376,,,,,
315,12387,,,,,
317,12398,,,,,
312,12409,,,,,
282,12421,,,,,
441,12433,,,,,
590,12444,,,,,
326,12455,,,,,
231,12467,,,,,
297,12478,,,,,
314,12489,,,,,
318,12502,,,,,
326,12513,,,,,
328,12524,,,,,
336,12535,,,,,
340,12547,,,,,
344,12559,,,,,
351,12570,,,,,
356,12581,,,,,
364,12593,,,,,
368,12604,,,,,
373,12615,,,,,
370,12627,,,,,
367,12639,,,,,
367,12650,,,,,
363,12661,,,,,
354,12673,,,,,
341,12684,,,,,
332,12696,,,,,
331,12707,,,,,
336,12719,,,,,
337,12730,,,,,
334,12741,,,,,
338,12752,,,,,
336,12765,,,,,
339,12776,,,,,
337,12787,,,,,
344,12798,,,,,
352,12810,,,,,
351,12821,,,,,
344,12833,,,,,
332,12845,,,,,
329,12856,,,,,
329,12867,,,,,
330,12878,,,,,
333,12891,,,,,
328,12902,,,,,
