EKG,T,,,,,0
322,9831,,,,,
320,9841,,,,,
323,9851,,,,,
320,9862,,,,,
328,9872,,,,,
338,9882,,,,,
342,9892,,,,,
335,9904,,,,,
332,9914,,,,,
321,9924,,,,,
321,9934,,,,,
319,9945,,,,,
321,9955,,,,,
320,9966,,,,,
325,9976,,,,,
303,9987,,,,,
310,9997,,,,,
520,10007,,,,,
660,10018,,,,,
361,10031,,,,,
251,10042,,,,,
295,10053,,,,,
312,10064,,,,,
317,10076,,,,,
321,10087,,,,,
328,10099,,,,,
334,10110,,,,,
338,10122,,,,,
344,10133,,,,,
350,10144,,,,,
359,10156,,,,,
365,10168,,,,,
376,10179,,,,,
386,10190,,,,,
394,10202,,,,,
395,10213,,,,,
391,10224,,,,,
382,10236,,,,,
363,10248,,,,,
341,10259,,,,,
323,10270,,,,,
313,10281,,,,,
309,10293,,,,,
305,10305,,,,,
308,10316,,,,,
309,10328,,,,,
309,10339,,,,,
311,10350,,,,,
311,10362,,,,,
315,10374,,,,,
315,10385,,,,,
317,10396,,,,,
318,10407,,,,,
319,10419,,,,,
319,10431,,,,,
318,10442,,,,,
320,10454,,,,,
319,10465,,,,,
320,10476,,,,,
318,10487,,,,,
320,10500,,,,,
320,10511,,,,,
322,10522,,,,,
337,10533,,,,,
337,10545,,,,,
335,10556,,,,,
327,10568,,,,,
320,10579,,,,,
321,10591,,,,,
319,10602,,,,,
322,10613,,,,,
322,10625,,,,,
308,10637,,,,,
310,10648,,,,,
548,10659,,,,,
657,10671,,,,,
321,10682,,,,,
252,10694,,,,,
297,10705,,,,,
313,10717,,,,,
316,10728,,,,,
322,10739,,,,,
328,10750,,,,,
332,10763,,,,,
338,10774,,,,,
342,10785,,,,,
351,10797,,,,,
357,10808,,,,,
366,10819,,,,,
378,10831,,,,,
388,10843,,,,,
396,10854,,,,,
395,10865,,,,,
393,10876,,,,,
380,10888,,,,,
359,10900,,,,,
338,10911,,,,,
322,10923,,,,,
312,10934,,,,,
306,10945,,,,,
308,10956,,,,,
306,10969,,,,,
307,10980,,,,,
311,10991,,,,,
309,11002,,,,,
313,11014,,,,,
313,11025,,,,,
317,11037,,,,,
318,11048,,,,,
319,11060,,,,,
318,11071,,,,,
319,11082,,,,,
321,11095,,,,,
319,11106,,,,,
320,11117,,,,,
320,11128,,,,,
321,11140,,,,,
319,11151,,,,,
324,11163,,,,,
338,11174,,,,,
334,11186,,,,,
333,11197,,,,,
324,11208,,,,,
320,11219,,,,,
320,11232,,,,,
318,11243,,,,,
323,11254,,,,,
323,11266,,,,,
297,11277,,,,,
359,11288,,,,,
643,11300,,,,,
587,11312,,,,,
255,11323,,,,,
264,11334,,,,,
306,11345,,,,,
317,11357,,,,,
319,11369,,,,,
324,11380,,,,,
331,11392,,,,,
333,11403,,,,,
341,11414,,,,,
345,11426,,,,,
352,11438,,,,,
361,11449,,,,,
373,11460,,,,,
383,11471,,,,,
391,11483,,,,,
399,11495,,,,,
399,11506,,,,,
393,11517,,,,,
377,11529,,,,,
354,11540,,,,,
333,11551,,,,,
318,11564,,,,,
311,11575,,,,,
307,11586,,,,,
307,11597,,,,,
307,11609,,,,,
307,11620,,,,,
309,11632,,,,,
310,11643,,,,,
313,11655,,,,,
315,11666,,,,,
317,11677,,,,,
319,11688,,,,,
322,11701,,,,,
323,11712,,,,,
320,11723,,,,,
322,11735,,,,,
322,11746,,,,,
322,11757,,,,,
321,11769,,,,,
319,11781,,,,,
326,11792,,,,,
337,11803,,,,,
337,11814,,,,,
334,11827,,,,,
327,11838,,,,,
321,11849,,,,,
320,11860,,,,,
324,11872,,,,,
322,11883,,,,,
325,11895,,,,,
299,11907,,,,,
351,11918,,,,,
630,11929,,,,,
598,11940,,,,,
263,11952,,,,,
263,11964,,,,,
308,11975,,,,,
315,11986,,,,,
320,11998,,,,,
325,12009,,,,,
331,12020,,,,,
338,12033,,,,,
341,12044,,,,,
347,12055,,,,,
352,12066,,,,,
363,12078,,,,,
371,12089,,,,,
380,12101,,,,,
393,12112,,,,,
396,12124,,,,,
398,12135,,,,,
390,12146,,,,,
376,12158,,,,,
357,12170,,,,,
334,12181,,,,,
320,12192,,,,,
309,12204,,,,,
309,12215,,,,,
306,12227,,,,,
307,12238,,,,,
307,12250,,,,,
309,12261,,,,,
314,12272,,,,,
312,12283,,,,,
315,12296,,,,,
317,12307,,,,,
317,12318,,,,,
318,12329,,,,,
317,12341,,,,,
321,12352,,,,,
320,12364,,,,,
319,12376,,,,,
319,12387,,,,,
318,12398,,,,,
323,12409,,,,,
336,12421,,,,,
335,12433,,,,,
333,12444,,,,,
326,12455,,,,,
320,12467,,,,,
319,12478,,,,,
321,12489,,,,,
321,12502,,,,,
321,12513,,,,,
300,12524,,,,,
338,12535,,,,,
604,12547,,,,,
622,12559,,,,,
275,12570,,,,,
255,12581,,,,,
302,12593,,,,,
313,12604,,,,,
